id;start_date;end_date;language
1;2019-11-20T08:07:35;2019-11-20T01:15:52;FRENCH
2;2019-11-19T18:43:51;2019-11-20T07:29:31;SPANISH
3;2019-11-19T18:10:17;2019-11-19T20:06:37;FRENCH
4;2019-11-20T05:56:07;2019-11-19T22:17:46;ENGLISH
5;2019-11-20T09:05:42;2019-11-20T09:40:40;ENGLISH
6;2019-11-19T15:21:00;2019-11-19T12:22:22;TAMIL
7;2019-11-20T00:31:03;2019-11-20T03:34:11;SPANISH
8;2019-11-20T02:19:01;2019-11-20T10:43:39;ENGLISH
9;2019-11-20T02:53:25;2019-11-20T11:30:49;SPANISH
10;2019-11-19T20:04:20;2019-11-19T19:27:57;TAMIL
